"Population and dwelling counts: Canada and forward sortation areas © 1"
"Frequency: Occasional"
"Table: 98-10-0019-01"
"Release date: 2023-03-29"
"Geography: Canada, Forward sortation area"
"Universe: All persons, 2021 Census – 100% data"
"Variable List: Population and dwelling counts (3)"

"Population and dwelling counts (3)","Population, 2021","Total private dwellings, 2021","Private dwellings occupied by usual residents, 2021"
"Geographic name"
"Canada 2","36,991,981","16,284,235","14,978,941"
"A0A","44,930","26,102","19,752"
"A0B","19,287","13,265","9,100"
"A0C","11,972","8,069","5,610"
"A0E","21,209","12,623","9,741"
"A0G","33,316","21,177","14,992"
"A0H","16,743","10,841","7,605"
"A0J","7,497","4,696","3,430"
"A0K","24,659","14,914","11,017"
"A0L","7,503","3,871","3,262"
"A0M","5,468","2,958","2,540"
"A0N","12,387","7,581","5,977"
"A0P","13,058","5,176","4,661"
"A0R","2,661","1,401","1,056"
"A1A","30,086","13,520","12,671"
"A1B","20,906","10,326","9,079"
"A1C","12,713","7,562","6,641"
"A1E","26,858","14,123","12,833"
"A1G","5,808","2,741","2,544"
"A1H","6,469","2,530","2,439"
"A1K","12,348","4,968","4,670"
"A1L","22,959","9,332","8,814"
"A1M","8,405","3,354","3,167"
"A1N","22,478","10,686","9,932"
"A1S","6,103","2,557","2,433"
"A1V","11,890","5,429","5,073"
"A1W","11,179","4,668","4,431"
"A1X","15,945","6,676","6,260"
"A1Y","5,436","2,745","2,429"
"A2A","9,277","4,406","4,091"
"A2B","4,739","2,293","2,099"
"A2H","25,290","12,658","11,325"
"A2N","8,613","4,349","4,052"
"A2V","7,447","3,387","3,089"
"A5A","8,436","4,161","3,575"
"A8A","6,475","4,039","2,863"
"B0C","2,748","1,808","1,235"
"B0E","25,919","14,977","11,613"
"B0H","9,796","5,595","4,410"
"B0J","41,032","23,424","18,777"
"B0K","35,141","20,031","15,903"
"B0L","2,335","1,435","1,082"
"B0M","17,448","10,120","7,844"
"B0N","40,484","19,211","17,411"
"B0P","41,544","19,438","17,644"
"B0R","6,090","3,802","2,819"
"B0S","17,873","10,114","8,445"
"B0T","14,729","9,297","6,954"
"B0V","5,658","3,152","2,752"
"B0W","25,890","13,895","11,887"
"B1A","14,988","7,320","6,764"
"B1B","1,237","673","574"
"B1C","1,698","914","784"
"B1E","1,533","754","688"
"B1G","1,796","925","848"
"B1H","9,146","4,580","4,271"
"B1J","1,148","893","573"
"B1K","3,336","2,100","1,504"
"B1L","4,952","2,140","2,053"
"B1M","1,271","537","515"
"B1N","5,605","2,670","2,487"
"B1P","14,704","7,580","6,982"
"B1R","4,478","1,967","1,892"
"B1S","8,826","3,977","3,786"
"B1T","400","332","199"
"B1V","6,088","2,928","2,733"
"B1W","3,521","1,138","1,081"
"B1X","921","607","413"
"B1Y","5,941","2,906","2,633"
"B2A","7,711","3,725","3,461"
"B2C","262","174","132"
"B2E","54","129","31"
"B2G","15,318","7,934","6,713"
"B2H","15,332","7,692","7,050"
"B2J","67","83","34"
"B2N","20,816","10,374","9,898"
"B2R","2,553","1,058","1,029"
"B2S","8,011","3,261","3,159"
"B2T","17,780","6,811","6,610"
"B2V","12,252","4,734","4,669"
"B2W","33,145","14,027","13,762"
"B2X","12,038","5,070","4,925"
"B2Y","15,420","8,312","7,916"
"B2Z","8,335","3,378","3,256"
"B3A","21,857","11,978","11,493"
"B3B","1,688","575","568"
"B3E","7,085","2,981","2,883"
"B3G","11,275","4,519","4,430"
"B3H","20,788","11,609","10,154"
"B3J","9,086","6,130","5,256"
"B3K","23,207","12,798","12,000"
"B3L","18,409","8,823","8,411"
"B3M","37,555","17,491","16,978"
"B3N","14,943","7,389","7,028"
